,id,kanji,strokes,grade,kanji_classification,jlpt_test,name_of_radical,radical_freq,reading_with_joyo,reading_beyond_joyo,nb_of_on,on_within_joyo,kanji_id_nelson,nb_meanings_on,translation_of_on,nb_kun_within_joyo_inflections,nb_kun_within_joyo_no_inflections,kun_within_joyo,nb_meanings_kun,translation_of_kun,year_inclusion,kanji_frq_proper_nouns,acc_frq_on_with_proper_nouns,acc_frq_on_with_proper_nouns.1,on_ratio_with_proper_nouns,acc_frq_on_beyond_joyo_with_proper_nouns,acc_frq_kun_beyond_joyo_with_proper_nouns,acc_on_ratio_beyond_joyo_with_proper_nouns,kanji_frequency_without_proper_nouns,acc_frq_on_without_proper_nouns,acc_frq_kun_without_proper_nouns,on_ratio_without_proper_nouns,acc_frq_on_beyond_joyo_without_proper_nouns,acc_frq_kun_beyond_joyo_without_proper_nouns,on_ratio_beyond_joyo_without_proper_nouns,left_kanji_prod,right_kanji_prod,acc_frq_left_prod,acc_frq_right_prod,symmetry,left_entropy,right_entropy,left_1_sound,left_1_frq,left_2_sound,left_2_frq,left_3_sound,left_3_frq,left_4_sound,left_4_frq,left_5_sound,left_5_frq,left_6_sound,left_6_freq,right_1_sound,right_1_frq,right_2_sound,right_2_frq,right_3_sound,right_3_frq,right_4_sound,right_4_frq,right_5_sound,right_5_frq,right_6_sound,right_6_frq,right_7_sound,right_7_frq,bert_small_embeddings,tsne_2D_coordinates
1209,1210,粗,11,7,形声 Phonetic,1,"Kome, Komehen",10,ソ、あら-い,ほぼ,1,so,4394,5,"roughness, coarseness, not fine; neglect; careless",1,1,ara(i),5,"rough, coarse, rugged; loose (fabric); large (meshes)",1981,3991,2910,1009,0.743,0,72,0.729,3991,2910,1009,0.743,0,72,0.729,1,25,1,1831,R,0,3.249196344,so,1,ara,68,,0,,0,,0,,0,so,1,,0,,0,,0,,0,,0,,0,"[-0.9999809   0.05563967 -0.99907136  0.29565978 -0.990312   -0.54446507
 -0.9679836  -0.09963971 -0.04602725  0.01460694 -0.776883   -0.10115066
 -0.08986949  1.         -0.6797923  -0.80912006 -0.3362317   0.0881805
 -0.98423094  0.98442656  0.8413966   0.01143728  0.98822266  0.926873
 -0.9993416   0.00542994 -0.99999446 -0.67604625  0.9984961   0.16670926
  0.11736865 -0.10480288 -0.9951171   0.40073553 -0.53117925  0.99997413
 -0.93654996 -0.04715393  0.9982765  -0.9940932   0.44853094  0.93125767
 -0.98728913  0.95216084 -0.9999989  -0.20310615 -0.9964675   0.9958053
  0.9375939   0.99808574  0.91669184  0.77900755 -0.04988385 -0.03500376
  0.9859385   0.99999017 -0.9995346  -0.75494313  0.2295576  -0.96249497
  0.02528004  0.49214914 -0.9936796   0.9741156  -0.88449246 -0.9999997
 -0.20956773  0.8922752   0.8604399   0.9747281   0.999264    0.04876495
 -0.99542373  0.03433735  0.876626   -0.9983001  -0.79154223  0.0336011
 -0.17511243  0.11123233  0.8683838   0.01334014 -0.9642496  -0.99948436
  0.99994004 -0.46946546  0.49235258 -0.11749708 -0.15829812  0.77770007
 -0.998558    0.9760058  -0.10511366  0.93465364  0.65763086 -0.36244088
 -0.94952124  0.98396415 -0.9998308  -0.9941885  -0.93450576  0.98847663
 -0.9998755  -0.6842296  -0.9675272  -0.00470631 -0.9995675  -0.99932504
  0.55782384  0.9506584   0.99934965 -0.4432281  -0.9758765   0.99791527
 -1.          0.02940863 -0.21011695 -0.93017143  0.08170355 -0.98134863
  0.04273437 -0.9999915  -0.28581998  0.8740676  -0.9994841   0.26957262
  0.89915866  0.96974564]",[ 20.27572  -35.086437]
1210,1211,組,11,2,形声 Phonetic,3,"Ito, Itohen",63,ソ、く-む、くみ,,1,so,4470,4,take part in; be implicated in; side with; support,2,2,"ku(mu), kumi",17,"braid, plait; construct; assemble; cross (legs); fold (arms); unite with, cooperate with; grapple with. class, party, group; set; pack (of cards); suit; assortment; typesetting ",1981,286910,68343,212593,0.243,0,0,0.243,281931,67554,210259,0.243,0,0,0.243,16,14,45930,80523,S,1.745123141,1.250431531,so,59,kumi,21,,0,,0,,0,,0,gumi,33,so,8,kumi,20,,0,,0,,0,,0,"[-0.9999989   0.10634387 -0.9999887  -0.3438647  -0.9882154   0.14842336
 -0.9700877  -0.18128051  0.02374676 -0.1142286  -0.6734176  -0.13161698
 -0.1349684   1.         -0.06983173 -0.83127284  0.4729254   0.09264731
 -0.5991538   0.45293865  0.9870135   0.06978513  0.79316586  0.53945035
 -0.9985498  -0.02241258 -0.99997723  0.32904565  0.90158373 -0.01828592
 -0.09222816 -0.11684845 -0.9550398   0.38785502 -0.3968076   0.9999201
 -0.9802034  -0.02273312  0.9970379  -0.9919735   0.981014    0.94479173
 -0.99565375  0.95585024 -0.99999845 -0.16505267 -0.9996506   0.99836767
  0.8924154   0.999145    0.96742374  0.55475897 -0.0992405   0.98409104
  0.971877    0.9999721  -0.9989322  -0.927721    0.84494853 -0.9911649
  0.00165375  0.95740616 -0.9518469   0.9862058  -0.6000804  -1.
 -0.9024522   0.6935084   0.3034891   0.9808707   0.9999606   0.01275259
 -0.9998592  -0.01800655  0.9006703  -0.99743736 -0.19978952  0.10083325
 -0.438655    0.199891   -0.02562164 -0.00733857 -0.9877194  -0.99908423
  0.9999939  -0.98564523  0.38736233 -0.7433767  -0.61585313  0.9924634
 -0.99834377  0.96734244 -0.6165875   0.92775595  0.47929204 -0.01955942
 -0.8376147   0.48238972 -0.9999859  -0.97991484 -0.9861435   0.95229226
 -0.99994963 -0.51042885 -0.98101497  0.21064472 -0.9990997  -0.9974621
  0.628256    0.9173235   0.99988014  0.672913   -0.9773608   0.9891797
 -1.         -0.06549387 -0.5915175  -0.74294895  0.140923   -0.99844944
  0.07301237 -0.9999991  -0.02698619  0.70851547 -0.9999775   0.9595421
  0.9871353   0.16744487]",[ -0.87503463 -18.461077  ]
1211,1212,疎,12,7,形声 Phonetic,1,Hiki,2,ソ、うと-い、うと-む,まば,1,so,3776,3,"rough, sparseness, estrangement",2,1,"uto(i), uto(mu)",7,"neglect, shun, alienate. distant, estranged; disinterested, ignorant of ",1981,5159,4766,387,0.925,0,2,0.925,5158,4766,387,0.925,0,2,0.925,5,10,1946,2820,S,1.148272645,1.94636756,so,2,,0,,0,,0,,0,,0,so,1,,0,,0,,0,,0,,0,,0,"[-0.9999977   0.01878335 -0.9976556   0.40430817 -0.98476    -0.32792515
 -0.7337041  -0.6545937   0.00749579  0.02013777 -0.23355769 -0.09266856
  0.04055122  0.9999996  -0.4740188  -0.46641672 -0.11234114  0.15188666
 -0.8989836   0.45201856  0.9671713   0.01243844  0.59812015  0.2938622
 -0.9993457   0.02310507 -0.9998077  -0.01362654  0.9914386   0.1451865
  0.13241868 -0.04044811 -0.99078983 -0.1034162  -0.2177522   0.99987674
 -0.998387   -0.0306352   0.99651885 -0.98533326  0.8932887   0.87601745
 -0.98104     0.9722624  -0.9999194  -0.27500516 -0.9612746   0.99588436
  0.9163634   0.99889433  0.9378419   0.48144817 -0.05250144  0.86559904
  0.94971246  0.9988652  -0.9729729  -0.978354    0.47517997 -0.47238058
 -0.06807949  0.948463   -0.979813    0.9674965  -0.8930068  -0.9999989
 -0.7650422   0.89572036  0.7907588   0.9619723   0.99559313 -0.06765514
 -0.9674807   0.14446992  0.9189558  -0.9978423  -0.88868356 -0.01007781
 -0.8419701   0.0507785   0.44178367 -0.00311526 -0.9975391  -0.99724454
  0.9999422  -0.847281   -0.8284904  -0.83855045 -0.350692    0.8198246
 -0.96803063  0.931233   -0.90575224  0.8668772   0.69640136  0.10583598
 -0.90910155  0.9822106  -0.99994093 -0.97664607 -0.8823105   0.98670506
 -0.9999305  -0.8345027  -0.9909137   0.21585779 -0.99972695 -0.99924153
  0.52409196  0.7934846   0.99967283  0.5008907  -0.97672117  0.9825044
 -0.9999972   0.08855525 -0.79368377 -0.80566496  0.14575978 -0.9989767
  0.13967928 -0.9999951  -0.60397434  0.91503125 -0.999924    0.981478
  0.9373408   0.9144917 ]",[  7.8507566 -12.698615 ]
1212,1213,訴,12,7,形声 Phonetic,1,"Gon, Gonben",68,ソ、うった-える,,1,so,5588,4,sue; complain of (pain); appeal to; have recourse to,1,1,utta(eru),4,sue; complain of (pain); appeal to; have recourse to,1981,127929,86610,41132,0.678,0,0,0.678,127902,86583,41132,0.678,0,0,0.678,20,8,53810,32412,P,2.250942618,0.685281024,so,32,,0,,0,,0,,0,,0,so,53,,0,,0,,0,,0,,0,,0,"[-0.99999344  0.02447823 -0.99987    -0.22594546 -0.9897758   0.11654732
 -0.9909542   0.24869172 -0.00563581 -0.09267962 -0.786113   -0.14033213
 -0.07750367  1.         -0.5326671  -0.95094174  0.6824741   0.14432672
 -0.9195709   0.92572385  0.9622241  -0.00889691  0.9900576   0.7365619
 -0.99912703 -0.06171455 -0.9999951  -0.15267152  0.9915746   0.09378894
 -0.03034848 -0.09456147 -0.93460894  0.5775729  -0.7747609   0.99997276
 -0.95459336 -0.03520991  0.99214333 -0.9964709   0.9887982   0.9685153
 -0.98821807  0.87621486 -0.9999994  -0.15753515 -0.99950993  0.99870044
  0.845638    0.9992713   0.9378296   0.59762096 -0.13263789  0.11483406
  0.981144    0.999994   -0.9997957  -0.03256152  0.6435102  -0.99158186
  0.05210201  0.82856816 -0.95402145  0.9754497  -0.83555824 -1.
 -0.9085494   0.5799631   0.76692665  0.9886152   0.99989337  0.09858698
 -0.99958336 -0.04719335  0.9254693  -0.9963047  -0.83910716  0.10628654
 -0.25041446  0.13236113  0.4517191   0.10925598 -0.9796109  -0.99975616
  0.9999484  -0.95037407  0.9042815  -0.66549206 -0.32513684  0.9654671
 -0.9992993   0.9296288  -0.51993847  0.95953596  0.71668994  0.16208866
 -0.8922201   0.9133721  -0.9997927  -0.98030114 -0.9888712   0.9188918
 -0.9997167  -0.7522781  -0.9823489   0.08151214 -0.99965787 -0.99707586
  0.7782669   0.9728701   0.9995016   0.4410114  -0.95546544  0.99349564
 -1.         -0.09204549 -0.52337873 -0.90294844  0.09196772 -0.9916242
  0.09422622 -0.99999815 -0.0903348   0.8829213  -0.9997649   0.7532543
  0.98235756  0.86859435]",[  0.311846 -15.060051]
1214,1215,遡,14,7,形声 Phonetic,0,Shinnyoo,51,ソ、さかのぼ-る,,1,so,6094,2,go upstream; retrace the past,1,1,sakanobo(ru),2,go upstream; retrace the past,2010,399,336,63,0.842,0,0,0.842,399,336,63,0.842,0,0,0.842,0,0,0,0,.,0,0,so,336,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"[-0.9999988  -0.03978307 -0.999768   -0.1595033  -0.9987814  -0.39683518
 -0.97757405 -0.61243165  0.07763901 -0.05731685 -0.490699   -0.16612288
 -0.00507913  1.         -0.7022949  -0.77268696  0.8667047   0.12461893
 -0.8069442   0.90705585  0.9883466  -0.01099134  0.7517194   0.36726475
 -0.9998186   0.01604487 -0.9999696  -0.16087817  0.98268497  0.00917582
 -0.07069918 -0.19435759 -0.98782367 -0.34783784  0.04382707  0.9998494
 -0.9948981   0.03404925  0.9939673  -0.99684453  0.98016125  0.95931256
 -0.99905086  0.9913152  -0.9999903  -0.05747655 -0.99676615  0.99724907
  0.95888656  0.9957012   0.94763273 -0.17719252 -0.16540754  0.9881068
  0.9888888   0.99972576 -0.99083316 -0.98127335  0.76089597 -0.89845306
  0.08321889  0.96621287 -0.98152     0.98166376 -0.6731027  -1.
 -0.76940215  0.51254475  0.8620336   0.95953244  0.999808    0.23231058
 -0.9977263  -0.14140779  0.79914105 -0.99595356 -0.05911081  0.10701125
 -0.9417482   0.10654344 -0.00986081  0.08040631 -0.9830487  -0.997081
  0.99998635 -0.99042654  0.2682161  -0.3468379  -0.65760857  0.92479426
 -0.9650297   0.921408   -0.8852281   0.96137637  0.07615889  0.03529547
 -0.81014556  0.6227536  -0.9999778  -0.9647531  -0.98468554  0.89054745
 -0.99993795 -0.09954171 -0.9978249   0.23334946 -0.9998806  -0.9982427
  0.53974116  0.7982759   0.9998937   0.47103179 -0.944716    0.99817526
 -1.         -0.21981831  0.04998421 -0.33831483  0.09198047 -0.9990402
 -0.05686184 -0.99999785 -0.47922227  0.965878   -0.999982    0.97353905
  0.9832194   0.9138752 ]",[ -2.8370197 -19.660671 ]
1215,1216,礎,18,7,形声 Phonetic,1,"Ishi, Ishihen",16,ソ、いしずえ,,1,so,4054,2,"foundation stone, cornerstone",1,1,ishizue,2,"foundation stone, cornerstone",1981,13327,12621,694,0.948,0,0,0.948,13105,12412,693,0.947,0,0,0.947,2,1,12265,147,.,0.011192127,0,so,147,,0,,0,,0,,0,,0,so,12,,0,,0,,0,,0,,0,,0,"[-0.9999792  -0.03318692 -0.99881494  0.9209848  -0.9806593   0.32097086
 -0.95346373 -0.8320173   0.03755469 -0.04234686 -0.9087455  -0.02196811
 -0.06602053  0.9999994  -0.02414949  0.39338022 -0.18988338  0.12585056
 -0.78780615  0.36068028  0.8601964  -0.05191168  0.4246511   0.33293337
 -0.99052876 -0.07508133 -0.9996381   0.64377934  0.9383272  -0.00164161
 -0.02051126 -0.21551952 -0.7850683  -0.8137966  -0.7438954   0.9999141
 -0.94168144  0.02102241  0.98750985 -0.9983802   0.9428645   0.9195945
 -0.9987024   0.9613848  -0.99994767 -0.11358492 -0.995555    0.9997835
  0.3067829   0.99948066  0.80686766 -0.4938415  -0.07523601 -0.23753084
  0.979864    0.9995258  -0.99368614  0.35821107  0.989054   -0.8015149
  0.02703631  0.80093616 -0.9766129   0.90503377 -0.60893565 -0.99999803
 -0.37371552  0.3452081   0.7679975   0.94612664  0.9947955   0.2665942
 -0.997112   -0.11027034  0.8755306  -0.99313176 -0.9526767   0.10301572
 -0.24187627  0.03124455 -0.19543819  0.04211473 -0.88035685 -0.9992211
  0.99963474 -0.9740348   0.04312462 -0.94363725 -0.9868965  -0.4528251
 -0.9216575   0.9375492  -0.13957447  0.91845864  0.9668549   0.825488
 -0.33246735  0.9721907  -0.9995444  -0.15804766 -0.9681552   0.7151116
 -0.9996397  -0.9016638  -0.9977839  -0.05001398 -0.9991969  -0.9891961
  0.08573154  0.13657731  0.99736947  0.5387211  -0.7342285   0.99844056
 -0.9999974  -0.10521494 -0.7982374  -0.43965825  0.07240274 -0.99890053
  0.05122533 -0.9999764  -0.73823607  0.9295357  -0.9994177   0.9907262
  0.8966554   0.99102175]",[26.93351  11.463034]
1218,1219,早,6,1,仮借 Loan,4,"Nichi, Nichihen",38,ソウ、[サッ]、はや-い、はや-まる、はや-める,さ,2,"soo, [saQ]",2419,7,"quick, fast, speedy; brisk, prompt; early; premature",3,1,"haya(i), haya(maru), haya(meru)",14,"quick, fast, speedy; brisk, prompt; early; premature. hasten, precipitate, accelerate, expedite; advance (the date). be hasty, be rash",1981,117986,52471,54240,0.492,0,4236,0.473,89336,39018,49828,0.439,0,1872,0.43,4,35,1359,34192,R,1.537036763,2.064955529,soo,33,haya,819,sa,139,,0,,0,,0,soo,4,baya,427,,0,,0,,0,,0,,0,"[-0.99995023 -0.00161893 -0.9989624  -0.41518953 -0.9902203  -0.01353685
 -0.9953187   0.6963455   0.09478594 -0.16625191 -0.83237845 -0.23382844
 -0.00735489  1.         -0.76618135 -0.95245796  0.19209905  0.2522335
 -0.9878096   0.96682787  0.79196584 -0.17228888  0.9920559   0.8811564
 -0.9959312  -0.06976655 -0.9999969  -0.91982853  0.9965229  -0.00902534
 -0.04906551 -0.15022463 -0.9725299   0.88942176 -0.916721    0.99998367
 -0.9022641   0.06505441  0.992421   -0.99747723  0.811948    0.9882024
 -0.99006367  0.9020673  -1.         -0.0381794  -0.9992354   0.99679685
  0.91085106  0.99929786  0.87027526  0.52837276 -0.22764318  0.7031094
  0.99297094  0.99999803 -0.9998894  -0.74492586 -0.45461988 -0.96901685
 -0.02993568  0.70720005 -0.96414024  0.9818233  -0.89875007 -1.
 -0.76205873  0.7134014   0.7505976   0.98578703  0.9997472   0.08749396
 -0.99914783 -0.10816538  0.81558174 -0.9700307  -0.8065139  -0.04323236
  0.08375055 -0.00301014  0.8930237  -0.00605585 -0.9941966  -0.9978069
  0.99995303 -0.8787279   0.6037718   0.06567556  0.4874322   0.98437166
 -0.9997983   0.9497213  -0.2576024   0.96184254  0.41574892 -0.02463395
 -0.968074    0.98872876 -0.99964315 -0.9747588  -0.97078365  0.97401696
 -0.9996895  -0.6579729  -0.9443864   0.5390438  -0.9996325  -0.99832284
  0.46444896  0.86538756  0.99972713 -0.6167155  -0.95554566  0.99724185
 -1.         -0.15155451 -0.6295064  -0.85265625  0.12387857 -0.96232027
 -0.01290575 -0.99999464  0.03336212  0.84687805 -0.99911094  0.11601093
  0.55078876  0.967188  ]",[ 17.633656 -35.588314]
1219,1220,争,6,4,会意 Com. Ideographic,3,Ku,1,ソウ、あらそ-う,,1,soo,69,4,"dispute, argue; be at variance; compete",1,1,araso(u),4,"dispute, argue, be at variance, compete",1981,133311,110718,22338,0.832,0,0,0.832,131595,109002,22338,0.83,0,0,0.83,9,8,99102,9736,S,1.934295351,1.200385694,soo,9,,0,,0,,0,,0,,0,soo,99,,0,,0,,0,,0,,0,,0,"[-9.99998510e-01 -2.78261187e-03 -9.99774575e-01 -8.23624656e-02
 -9.90051806e-01  1.83119208e-01 -9.05378759e-01 -8.25279534e-01
  6.94340542e-02 -1.07336804e-01 -4.56487298e-01 -2.20437616e-01
 -4.73361276e-02  1.00000000e+00 -3.45289707e-04 -1.40038682e-02
  6.30465806e-01  1.30488336e-01 -8.05701613e-01  1.37999877e-01
  9.89649117e-01  1.04479864e-02  9.00079757e-02 -1.16295298e-03
 -9.93706465e-01 -2.71624979e-03 -9.99945581e-01  2.38418445e-01
  9.64099109e-01 -1.50540769e-02 -1.09259777e-01 -1.27835944e-01
 -9.84767318e-01  6.56017303e-01  3.94690633e-01  9.99902129e-01
 -9.96827841e-01  3.29993591e-02  9.74657714e-01 -9.91083205e-01
  9.40065742e-01  8.77770424e-01 -9.93730187e-01  9.24327552e-01
 -9.99988496e-01 -4.19083126e-02 -9.93443012e-01  9.97577369e-01
  8.78251553e-01  9.98598516e-01  6.45479560e-01 -1.61823496e-01
 -2.19158977e-01  9.88374054e-01  9.74891245e-01  9.99861538e-01
 -9.96002376e-01 -9.90151227e-01 -2.24119768e-01 -8.99839938e-01
  1.12986499e-02  9.93291378e-01 -8.45428169e-01  9.02502894e-01
 -4.35202748e-01 -1.00000000e+00 -9.49859321e-01  8.69840145e-01
  3.58623296e-01  9.85660791e-01  9.99251783e-01  8.41705874e-02
 -9.97934222e-01 -1.01945005e-01  8.72944176e-01 -9.93445694e-01
 -8.03644836e-01 -1.52375270e-03 -9.40250933e-01  7.60545135e-02
  3.97837423e-02  5.38641661e-02 -9.62655365e-01 -9.96335328e-01
  9.99983490e-01 -9.69544172e-01 -5.87525010e-01 -8.92779052e-01
 -7.37395406e-01  9.92705286e-01 -9.94821489e-01  8.15205038e-01
 -7.46095300e-01  7.55908966e-01  7.56451547e-01  4.76166993e-01
 -7.45787799e-01  7.44107068e-01 -9.99968767e-01 -9.84756947e-01
 -9.36392665e-01  9.51146841e-01 -9.99920547e-01  1.79149389e-01
 -9.95938241e-01 -7.75337160e-01 -9.99595881e-01 -9.95037675e-01
  2.93406069e-01  9.42569852e-01  9.99556839e-01  5.45275390e-01
 -9.44864750e-01  9.72451150e-01 -9.99999523e-01 -1.60568357e-01
 -8.55450153e-01 -8.23690951e-01  1.52152926e-01 -9.99150217e-01
  1.25400111e-01 -9.99994636e-01 -5.08102536e-01  8.96972895e-01
 -9.99979198e-01  9.85524893e-01  9.55762625e-01  3.51677239e-01]",[-29.768988  22.385424]
1220,1221,走,7,2,象形 Pictographic,4,"Hashiru, Soonyoo",6,ソウ、はし-る,,1,soo,5845,6,"run, rush, flee; turn to, become; go to excess",1,1,hashi(ru),6,"run, rush, flee; turn to, become; go to excess",1981,85281,39514,43744,0.475,0,0,0.475,84685,39514,43679,0.475,0,0,0.475,29,6,27302,11554,P,3.844638299,1.236319629,soo,11,,0,,0,,0,,0,,0,soo,26,,0,,0,,0,,0,,0,,0,"[-0.9999916   0.02908043 -0.999948    0.6979178  -0.9980673  -0.24334583
 -0.99690163 -0.50217575  0.09337316 -0.11702626 -0.7871038  -0.19537687
 -0.0787219   1.         -0.87871945 -0.9090939   0.92789173  0.12744603
 -0.95485324  0.97921735  0.9722416   0.03105026  0.98668224  0.8067517
 -0.99767923 -0.0827259  -0.99999917  0.26339912  0.9913144   0.05993622
 -0.13633212 -0.23746851 -0.9669675   0.6973721   0.38683924  0.99997514
 -0.92617935  0.04239563  0.96997666 -0.9981096   0.87597036  0.9869671
 -0.99879366  0.95518017 -1.          0.00144159 -0.9997877   0.997993
  0.9068062   0.9935596   0.94290906 -0.31661502 -0.18734892  0.98722136
  0.99604225  0.9999964  -0.99981314 -0.9271031   0.3514471  -0.9776472
 -0.02290972  0.7710345  -0.9542257   0.9815992  -0.6338778  -1.
 -0.11687858  0.31236175  0.9029497   0.99435455  0.9999703   0.31321156
 -0.9999046  -0.2339038   0.8679799  -0.99300945 -0.40962863  0.20985912
 -0.91282696  0.05009174  0.5011036   0.10046512 -0.82526547 -0.9994103
  0.9999881  -0.93210673  0.89058423 -0.02596458 -0.4263769   0.9873951
 -0.99875873  0.97664595 -0.300299    0.98517084  0.0708125  -0.43659064
 -0.9009329  -0.03289249 -0.99993956 -0.9928703  -0.9822199   0.9638117
 -0.9998502  -0.17158787 -0.9785047  -0.14523196 -0.9999488  -0.9980682
  0.19406253  0.9818412   0.99990714  0.29470673 -0.97036767  0.99983335
 -1.         -0.205589    0.18220928 -0.4248741   0.03578431 -0.98027277
 -0.0037214  -0.99999833  0.03179662  0.931802   -0.9999188   0.7841751
  0.98317176  0.96163803]",[-14.761374 -26.81298 ]
1221,1222,奏,9,6,会意 Com. Ideographic,1,Dai,16,ソウ、かな-でる,,1,soo,1156,1,play (an instrument),1,1,kana(deru),1,play (an instrument),1981,21985,21143,830,0.962,0,0,0.962,21985,21143,830,0.962,0,0,0.962,13,7,14643,3122,S,0.98080549,1.430080642,soo,3,,0,,0,,0,,0,,0,soo,14,,0,,0,,0,,0,,0,,0,"[-9.99990404e-01 -8.95005534e-04 -9.97609437e-01  5.13488233e-01
 -9.96363044e-01  7.10671246e-01 -9.89907324e-01 -7.71585107e-01
  5.71387308e-03 -5.52480593e-02 -8.40097308e-01 -1.70284539e-01
 -1.32449985e-01  9.99999523e-01 -4.97933894e-01 -9.48992431e-01
  7.67643631e-01  1.13716036e-01 -9.11499321e-01 -2.66211424e-02
  9.43700075e-01  1.10396586e-01  4.98000085e-01 -2.78801233e-01
 -9.99882400e-01 -5.23695759e-02 -9.99700904e-01  8.92324507e-01
  9.47615504e-01  1.16421081e-01  9.03888047e-02  5.60719706e-02
 -9.97662842e-01 -5.12584686e-01 -1.48486987e-01  9.99937534e-01
 -9.82337475e-01 -5.47664799e-02  4.51706588e-01 -9.98480499e-01
  9.73135591e-01  9.81498718e-01 -9.98691797e-01  9.25703287e-01
 -9.99982119e-01 -2.25967348e-01 -9.98347759e-01  9.99282360e-01
  4.71453905e-01  9.99085605e-01  9.76713240e-01 -6.01565838e-01
 -3.08657698e-02  9.66342926e-01  9.92539346e-01  9.99718368e-01
 -9.97415721e-01 -7.91066766e-01  4.62956548e-01 -8.44859123e-01
  4.40944545e-02  9.06015217e-01  7.66935050e-01  9.11407769e-01
 -8.43804538e-01 -9.99998033e-01 -9.12999868e-01 -3.68045419e-01
  6.46549523e-01  7.99472094e-01  9.96413112e-01  5.12646027e-02
 -9.96590376e-01  9.23912376e-02  8.88525069e-01 -9.93547797e-01
 -5.04685760e-01  1.13365963e-01 -9.72323954e-01  1.38107136e-01
 -6.61178589e-01  6.49631117e-03 -8.89677286e-01 -9.99614716e-01
  9.98695731e-01 -9.38944459e-01  6.62063658e-01 -9.81492758e-01
 -7.88825631e-01  8.98748755e-01 -9.39854681e-01  9.43243027e-01
 -9.34530914e-01  9.23680007e-01  8.23053002e-01  9.30818379e-01
 -7.87012100e-01 -3.40054601e-01 -9.99797106e-01 -9.89414692e-01
 -9.97128487e-01  9.35705602e-01 -9.99246061e-01 -8.33412051e-01
 -8.88681591e-01 -3.24123770e-01 -9.98800039e-01 -9.86807346e-01
  4.46419328e-01  9.73979950e-01  9.96370316e-01 -3.07728708e-01
 -1.57887444e-01  9.98555243e-01 -9.99998689e-01  1.98249385e-01
 -4.87659842e-01 -3.14283818e-01  1.09328553e-01 -9.97224808e-01
  2.13828757e-01 -9.99933183e-01 -8.61774743e-01  7.66201735e-01
 -9.99845028e-01  8.59044194e-01  9.76310194e-01  9.62402463e-01]",[ 9.863947 16.668468]
1222,1223,相,9,3,会意 Com. Ideographic,3,"Me, Mehen",19,ソウ、ショウ、あい,,2,"soo, 	shoo",3920,5,"aspect, phase, physiognomy. minister of state, councilor",1,1,ai,6,"together, each other; mutually, reciprocally; fellow-; emphatic vebal prefix",1981,568804,447254,89728,0.833,0,0,0.833,555691,445303,85191,0.839,0,0,0.839,41,42,297244,128326,S,1.412571537,2.93440703,soo,65,ai,49,syoo,20,,0,,0,,0,syoo,288,soo,8,zoo,17,,0,,0,,0,,0,"[-0.9999933   0.03870434 -0.9975957   0.17634065 -0.96561366  0.57686305
 -0.88193065 -0.6414248  -0.04207056  0.07235443 -0.5422246  -0.04029645
 -0.09193633  0.9999934  -0.19210164  0.04466359 -0.4593741   0.09733203
 -0.7160983  -0.83226675  0.8742775  -0.00146796 -0.73702115 -0.1667021
 -0.9956601  -0.01822234 -0.9996544   0.10610987  0.93179476  0.10480137
  0.0430496  -0.07871349 -0.92529017 -0.65937513  0.02970381  0.99969715
 -0.99138397 -0.06069463  0.99850726 -0.9948117   0.7796477   0.9352676
 -0.9863777   0.8729433  -0.9994416  -0.22338317 -0.9804786   0.9931431
 -0.28718287  0.9983551   0.8300663   0.17817862  0.00191366  0.70516014
  0.7518036   0.9966307  -0.96516955 -0.5232606   0.6638975  -0.8886399
 -0.08627959  0.89761776 -0.9691671   0.8475497  -0.7737135  -0.99999285
 -0.8401186   0.42128354  0.5438997   0.9037802   0.9989682  -0.03292156
 -0.9967777   0.14943424  0.9851665  -0.99303967 -0.64402694  0.1634466
 -0.6742921   0.16125399 -0.513153    0.05175291 -0.96821415 -0.9149246
  0.9994209  -0.9819452  -0.87847793 -0.98869795 -0.8991198   0.50011075
 -0.8935664   0.9921028   0.01841422  0.9154511   0.80436295  0.6903157
 -0.5196396   0.94207394 -0.99988544 -0.8798048  -0.9356432   0.92006946
 -0.99960726 -0.973814   -0.98045504 -0.33456522 -0.99765116 -0.98129743
 -0.10881007  0.9092219   0.99543697 -0.28032514 -0.8716538   0.9756853
 -0.99995863  0.1385463  -0.83583117 -0.8672126   0.1011923  -0.9997394
  0.12820578 -0.99994045 -0.44414276  0.5694001  -0.99991995  0.93396753
  0.97530943  0.7895683 ]",[21.936993 -4.777845]
